datetime,open,high,low,close,volume,openinterest
2021-01-04,210.42308044433594,217.69000244140625,223.0,214.80999755859375,222.52999877929688,37130100
2021-01-05,210.6260986328125,217.89999389648438,218.52000427246094,215.6999969482422,217.25999450683594,23823000
2021-01-06,205.16468811035156,212.25,216.49000549316406,211.94000244140625,212.1699981689453,35930700
2021-01-07,211.00302124023438,218.2899932861328,219.33999633789062,213.7100067138672,214.0399932861328,27694500
2021-01-08,212.28868103027344,219.6199951171875,220.5800018310547,217.02999877929688,218.67999267578125,22956200
2021-01-11,210.22975158691406,217.49000549316406,218.91000366210938,216.72999572753906,218.47000122070312,23031300
2021-01-12,207.75518798828125,214.92999267578125,217.10000610351562,213.32000732421875,216.5,23249300
2021-01-13,209.11814880371094,216.33999633789062,216.75999450683594,213.92999267578125,214.02000427246094,20087100
2021-01-14,205.9090118408203,213.02000427246094,217.4600067138672,212.74000549316406,215.91000366210938,29480800
2021-01-15,205.5513458251953,212.64999389648438,214.50999450683594,212.02999877929688,213.52000427246094,31746500
2021-01-19,209.21481323242188,216.44000244140625,216.97999572753906,212.6300048828125,213.75,30480900
2021-01-20,216.85108947753906,224.33999633789062,225.7899932861328,217.2899932861328,217.6999969482422,37777300
2021-01-21,217.46009826660156,224.97000122070312,226.3000030517578,222.4199981689453,224.6999969482422,30709400
2021-01-22,218.4073486328125,225.9499969482422,230.07000732421875,225.8000030517578,227.0800018310547,30172700
2021-01-25,221.86785888671875,229.52999877929688,229.77999877929688,224.22000122070312,229.1199951171875,33152100
2021-01-26,224.57437133789062,232.3300018310547,234.17999267578125,230.0800018310547,231.86000061035156,49169600
2021-01-27,225.1253204345703,232.89999389648438,240.44000244140625,230.13999938964844,238.0,69870600
2021-01-28,230.95407104492188,238.92999267578125,242.63999938964844,235.08999633789062,235.61000061035156,49111200
2021-01-29,224.21673583984375,231.9600067138672,238.02000427246094,231.35000610351562,235.99000549316406,42503100
2021-02-01,231.6500244140625,239.64999389648438,242.5,232.42999267578125,235.05999755859375,33314200
2021-02-02,231.51467895507812,239.50999450683594,242.30999755859375,238.69000244140625,241.3000030517578,25916300
2021-02-03,234.88818359375,243.0,245.08999633789062,239.25999450683594,239.57000732421875,27158100
2021-02-04,233.93124389648438,242.00999450683594,243.24000549316406,240.3699951171875,242.66000366210938,25296100
2021-02-05,234.11489868164062,242.1999969482422,243.27999877929688,240.4199981689453,242.22999572753906,18054800
2021-02-08,234.37591552734375,242.47000122070312,243.67999267578125,240.80999755859375,243.14999389648438,22211900
2021-02-09,235.6324920654297,243.77000427246094,244.75999450683594,241.3800048828125,241.8699951171875,23565000
2021-02-10,234.7141876220703,242.82000732421875,245.9199981689453,240.88999938964844,245.0,22186700
2021-02-11,236.32843017578125,244.49000549316406,245.14999389648438,242.14999389648438,244.77999877929688,15751100
